# Snapshot taken on Thu Apr 27 18:30:52 EDT 2017 from: https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
	City	State	Count (2015)	Census (2010)	Change	Land area (2014) [English]	Land area (2014) [SI]	Population density (2010) [English]	Population density (2010) [SI]	Location
132	Newport News[15]	Virginia	182,385	180,719	+0.92%	68.7 sq mi	178.0 km2	2,630 per sq mi	1,015 km−2	37.0760°N 76.5217°W
133	Santa Clarita	California	182,371	176,320	+3.43%	52.7 sq mi	136.5 km2	3,345 per sq mi	1,291 km−2	34.4049°N 118.5047°W
134	Port St. Lucie	Florida	179,413	164,603	+9.00%	114.0 sq mi	295.1 km2	1,444 per sq mi	558 km−2	27.2810°N 80.3838°W
135	Providence	Rhode Island	179,207	178,042	+0.65%	18.4 sq mi	47.7 km2	9,676 per sq mi	3,736 km−2	41.8231°N 71.4188°W
136	Fort Lauderdale	Florida	178,590	165,521	+7.90%	34.8 sq mi	90.0 km2	4,761 per sq mi	1,838 km−2	26.1413°N 80.1439°W
137	Chattanooga	Tennessee	176,588	167,674	+5.32%	137.2 sq mi	355.2 km2	1,223 per sq mi	472 km−2	35.0665°N 85.2471°W
138	Tempe	Arizona	175,826	161,719	+8.72%	39.9 sq mi	103.4 km2	4,050 per sq mi	1,564 km−2	33.3884°N 111.9318°W
139	Oceanside	California	175,691	167,086	+5.15%	41.2 sq mi	106.8 km2	4,052 per sq mi	1,565 km−2	33.2246°N 117.3062°W
140	Garden Grove	California	175,393	170,883	+2.64%	17.9 sq mi	46.5 km2	9,525 per sq mi	3,677 km−2	33.7788°N 117.9605°W
141	Rancho Cucamonga	California	175,236	165,269	+6.03%	39.9 sq mi	103.2 km2	4,147 per sq mi	1,601 km−2	34.1233°N 117.5642°W
142	Cape Coral	Florida	175,229	154,305	+13.56%	105.7 sq mi	273.7 km2	1,460 per sq mi	564 km−2	26.6431°N 81.9973°W
143	Santa Rosa	California	174,972	167,815	+4.26%	41.3 sq mi	107.0 km2	4,064 per sq mi	1,569 km−2	38.4468°N 122.7061°W
144	Vancouver	Washington	172,860	161,791	+6.84%	46.5 sq mi	120.3 km2	3,483 per sq mi	1,345 km−2	45.6372°N 122.5965°W
145	Sioux Falls	South Dakota	171,544	153,888	+11.47%	73.0 sq mi	189.0 km2	2,109 per sq mi	814 km−2	43.5383°N 96.7320°W
146	Peoria	Arizona	171,237	154,065	+11.15%	174.4 sq mi	451.7 km2	883 per sq mi	341 km−2	33.7877°N 112.3111°W
147	Ontario	California	171,214	163,924	+4.45%	49.9 sq mi	129.3 km2	3,282 per sq mi	1,267 km−2	34.0395°N 117.6088°W
148	Jackson	Mississippi	170,674	173,514	−1.64%	111.0 sq mi	287.6 km2	1,563 per sq mi	603 km−2	32.3158°N 90.2128°W
149	Elk Grove	California	166,913	153,015	+9.08%	42.2 sq mi	109.3 km2	3,627 per sq mi	1,400 km−2	38.4144°N 121.3849°W
150	Springfield	Missouri	166,810	159,498	+4.58%	81.7 sq mi	211.7 km2	1,952 per sq mi	754 km−2	37.1942°N 93.2913°W
151	Pembroke Pines	Florida	166,611	154,019	+8.18%	33.1 sq mi	85.8 km2	4,672 per sq mi	1,804 km−2	26.0212°N 80.3404°W
152	Salem	Oregon	164,549	154,637	+6.41%	47.9 sq mi	124.0 km2	3,229 per sq mi	1,247 km−2	44.9237°N 123.0231°W
153	Corona	California	164,226	152,374	+7.78%	38.8 sq mi	100.6 km2	3,925 per sq mi	1,515 km−2	33.8624°N 117.5639°W
154	Eugene	Oregon	163,460	156,185	+4.66%	43.7 sq mi	113.2 km2	3,572 per sq mi	1,379 km−2	44.0567°N 123.1162°W
155	McKinney	Texas	162,898	131,117	+24.24%	62.2 sq mi	161.1 km2	2,108 per sq mi	814 km−2	33.2012°N 96.6680°W
156	Fort Collins	Colorado	161,175	143,986	+11.94%	54.3 sq mi	140.6 km2	2,653 per sq mi	1,024 km−2	40.5482°N 105.0648°W
157	Lancaster	California	161,103	156,633	+2.85%	94.3 sq mi	244.2 km2	1,661 per sq mi	641 km−2	34.6936°N 118.1753°W
158	Cary[25]	North Carolina	159,769	135,234	+18.14%	54.3 sq mi	140.8 km2	2,488 per sq mi	961 km−2	35.7821°N 78.8141°W
159	Palmdale	California	158,351	152,750	+3.67%	106.0 sq mi	274.4 km2	1,442 per sq mi	557 km−2	34.5913°N 118.1090°W
160	Hayward	California	158,289	144,186	+9.78%	45.3 sq mi	117.4 km2	3,181 per sq mi	1,228 km−2	37.6281°N 122.1063°W
161	Salinas	California	157,380	150,441	+4.61%	23.2 sq mi	60.0 km2	6,490 per sq mi	2,506 km−2	36.6902°N 121.6337°W
162	Frisco	Texas	154,407	116,989	+31.98%	61.8 sq mi	160.1 km2	1,893 per sq mi	731 km−2	33.1510°N 96.8193°W
163	Springfield	Massachusetts	154,341	153,060	+0.84%	31.9 sq mi	82.5 km2	4,803 per sq mi	1,855 km−2	42.1155°N 72.5400°W
164	Pasadena	Texas	153,784	149,043	+3.18%	42.8 sq mi	110.8 km2	3,485 per sq mi	1,346 km−2	29.6583°N 95.1505°W
165	Macon[26]	Georgia	153,515	91,351	+68.05%	255.1 sq mi	661 km2	614 per sq mi	237 km−2	32.505°N 83.396°W
166	Alexandria[15]	Virginia	153,511	139,966	+9.68%	15.0 sq mi	38.9 km2	9,314 per sq mi	3,596 km−2	38.8183°N 77.0820°W
167	Pomona	California	153,266	149,058	+2.82%	23.0 sq mi	59.4 km2	6,494 per sq mi	2,508 km−2	34.0586°N 117.7613°W
168	Lakewood	Colorado	152,597	142,980	+6.73%	42.9 sq mi	111.1 km2	3,334 per sq mi	1,287 km−2	39.6989°N 105.1176°W
169	Sunnyvale	California	151,754	140,081	+8.33%	22.0 sq mi	56.9 km2	6,371 per sq mi	2,460 km−2	37.3858°N 122.0263°W
170	Escondido	California	151,451	143,911	+5.24%	36.8 sq mi	95.3 km2	3,909 per sq mi	1,509 km−2	33.1336°N 117.0732°W
171	Kansas City[27]	Kansas	151,306	145,786	+3.79%	124.8 sq mi	323.3 km2	1,168 per sq mi	451 km−2	39.1225°N 94.7418°W
172	Hollywood	Florida	149,728	140,768	+6.37%	27.4 sq mi	70.9 km2	5,144 per sq mi	1,986 km−2	26.0311°N 80.1646°W
173	Clarksville	Tennessee	149,176	132,929	+12.22%	97.6 sq mi	252.8 km2	1,362 per sq mi	526 km−2	36.5664°N 87.3452°W
174	Torrance	California	148,475	145,438	+2.09%	20.5 sq mi	53.0 km2	7,102 per sq mi	2,742 km−2	33.8350°N 118.3414°W
175	Rockford	Illinois	148,278	152,871	−3.00%	61.1 sq mi	158.2 km2	2,503 per sq mi	966 km−2	42.2634°N 89.0628°W
176	Joliet	Illinois	147,861	147,433	+0.29%	62.1 sq mi	160.9 km2	2,374 per sq mi	916 km−2	41.5181°N 88.1584°W
177	Paterson	New Jersey	147,754	146,199	+1.06%	8.4 sq mi	21.8 km2	17,346 per sq mi	6,697 km−2	40.9147°N 74.1628°W
178	Bridgeport	Connecticut	147,629	144,229	+2.36%	16.0 sq mi	41.4 km2	9,029 per sq mi	3,486 km−2	41.1874°N 73.1957°W
179	Naperville	Illinois	147,100	141,853	+3.70%	38.8 sq mi	100.4 km2	3,659 per sq mi	1,413 km−2	41.7492°N 88.1620°W
180	Savannah	Georgia	145,674	136,286	+6.89%	103.2 sq mi	267.2 km2	1,321 per sq mi	510 km−2	32.0025°N 81.1536°W
181	Mesquite	Texas	144,788	139,824	+3.55%	46.0 sq mi	119.2 km2	3,038 per sq mi	1,173 km−2	32.7639°N 96.5924°W
182	Syracuse	New York	144,142	145,170	−0.71%	25.0 sq mi	64.9 km2	5,797 per sq mi	2,238 km−2	43.0410°N 76.1436°W
183	Pasadena	California	142,250	137,122	+3.74%	23.0 sq mi	59.5 km2	5,970 per sq mi	2,305 km−2	34.1606°N 118.1396°W
184	Orange	California	140,992	136,416	+3.35%	24.8 sq mi	64.2 km2	5,501 per sq mi	2,124 km−2	33.8048°N 117.8249°W
185	Fullerton	California	140,847	135,161	+4.21%	22.4 sq mi	57.9 km2	6,047 per sq mi	2,335 km−2	33.8857°N 117.9280°W
186	Killeen	Texas	140,806	127,921	+10.07%	53.6 sq mi	138.8 km2	2,387 per sq mi	922 km−2	31.0777°N 97.7320°W
187	Dayton	Ohio	140,599	141,527	−0.66%	55.7 sq mi	144.1 km2	2,543 per sq mi	982 km−2	39.7774°N 84.1996°W
188	McAllen	Texas	140,269	129,877	+8.00%	48.3 sq mi	125.2 km2	2,687 per sq mi	1,037 km−2	26.2185°N 98.2461°W
189	Bellevue	Washington	139,820	122,363	+14.27%	32.0 sq mi	82.8 km2	3,828 per sq mi	1,478 km−2	47.5978°N 122.1565°W
190	Miramar	Florida	137,132	122,041	+12.37%	29.5 sq mi	76.5 km2	4,134 per sq mi	1,596 km−2	25.9770°N 80.3358°W
191	Hampton[15]	Virginia	136,454	137,436	−0.71%	51.4 sq mi	133.2 km2	2,673 per sq mi	1,032 km−2	37.0480°N 76.2971°W
192	West Valley City	Utah	136,208	129,480	+5.20%	35.6 sq mi	92.1 km2	3,642 per sq mi	1,406 km−2	40.6885°N 112.0118°W
193	Warren	Michigan	135,358	134,056	+0.97%	34.4 sq mi	89.0 km2	3,899 per sq mi	1,505 km−2	42.4929°N 83.0250°W
194	Olathe	Kansas	134,305	125,872	+6.70%	59.7 sq mi	154.5 km2	2,110 per sq mi	815 km−2	38.8843°N 94.8188°W
195	Columbia	South Carolina	133,803	129,272	+3.51%	132.2 sq mi	342.4 km2	978 per sq mi	378 km−2	34.0298°N 80.8966°W
196	Thornton	Colorado	133,451	118,772	+12.36%	34.8 sq mi	90.2 km2	3,409 per sq mi	1,316 km−2	39.9180°N 104.9454°W
197	Carrollton	Texas	133,168	119,097	+11.81%	36.3 sq mi	94.0 km2	3,281 per sq mi	1,267 km−2	32.9884°N 96.8998°W
198	Midland	Texas	132,950	111,147	+19.62%	72.1 sq mi	186.7 km2	1,542 per sq mi	595 km−2	32.0299°N 102.1097°W
199	Charleston	South Carolina	132,609	120,083	+10.43%	109.0 sq mi	282.3 km2	1,102 per sq mi	425 km−2	32.8179°N 79.9589°W
200	Waco	Texas	132,356	124,805	+6.05%	89.0 sq mi	230.4 km2	1,403 per sq mi	542 km−2	31.5601°N 97.1860°W
201	Sterling Heights	Michigan	132,052	129,699	+1.81%	36.5 sq mi	94.5 km2	3,553 per sq mi	1,372 km−2	42.5812°N 83.0303°W
202	Denton	Texas	131,044	113,383	+15.58%	88.0 sq mi	227.8 km2	1,289 per sq mi	498 km−2	33.2151°N 97.1417°W
203	Cedar Rapids	Iowa	130,405	126,326	+3.23%	70.8 sq mi	183.4 km2	1,784 per sq mi	689 km−2	41.9670°N 91.6778°W
204	New Haven	Connecticut	130,322	129,779	+0.42%	18.7 sq mi	48.4 km2	6,948 per sq mi	2,683 km−2	41.3108°N 72.9250°W
205	Roseville	California	130,269	118,788	+9.67%	36.2 sq mi	93.8 km2	3,279 per sq mi	1,266 km−2	38.7657°N 121.3032°W
206	Gainesville	Florida	130,128	124,354	+4.64%	61.3 sq mi	158.8 km2	2,028 per sq mi	783 km−2	29.6788°N 82.3459°W
207	Visalia	California	130,104	124,442	+4.55%	36.2 sq mi	93.9 km2	3,433 per sq mi	1,326 km−2	36.3272°N 119.3234°W
208	Coral Springs	Florida	129,485	121,096	+6.93%	23.8 sq mi	61.6 km2	5,090 per sq mi	1,965 km−2	26.2708°N 80.2593°W
209	Thousand Oaks	California	129,339	126,683	+2.10%	55.0 sq mi	142.5 km2	2,302 per sq mi	889 km−2	34.1933°N 118.8742°W
210	Elizabeth	New Jersey	129,007	124,969	+3.23%	12.3 sq mi	31.9 km2	10,144 per sq mi	3,917 km−2	40.6663°N 74.1935°W
211	Stamford	Connecticut	128,874	122,643	+5.08%	37.6 sq mi	97.5 km2	3,258 per sq mi	1,258 km−2	41.0799°N 73.5460°W
212	Concord	California	128,667	122,067	+5.41%	30.5 sq mi	79.1 km2	3,996 per sq mi	1,543 km−2	37.9722°N 122.0016°W
213	Surprise	Arizona	128,422	117,517	+9.28%	105.7 sq mi	273.9 km2	1,111 per sq mi	429 km−2	33.6706°N 112.4527°W
214	Lafayette[28]	Louisiana	127,657	120,623	+5.83%	49.2 sq mi	127.5 km2	2,450 per sq mi	946 km−2	30.2116°N 92.0314°W
215	Topeka	Kansas	127,265	127,473	−0.16%	60.2 sq mi	155.8 km2	2,119 per sq mi	818 km−2	39.0362°N 95.6948°W
216	Kent	Washington	126,952	92,411	+37.38%	28.6 sq mi	74.1 km2	3,228 per sq mi	1,246 km−2	47.3853°N 122.2169°W
217	Simi Valley	California	126,788	124,237	+2.05%	41.5 sq mi	107.4 km2	2,995 per sq mi	1,156 km−2	34.2669°N 118.7485°W
218	Santa Clara	California	126,215	116,468	+8.37%	18.4 sq mi	47.7 km2	6,327 per sq mi	2,443 km−2	37.3646°N 121.9679°W
219	Murfreesboro	Tennessee	126,118	108,755	+15.97%	55.3 sq mi	143.3 km2	1,965 per sq mi	759 km−2	35.8522°N 86.4161°W
220	Hartford	Connecticut	124,006	124,775	−0.62%	17.4 sq mi	45.0 km2	7,179 per sq mi	2,772 km−2	41.7660°N 72.6833°W
221	Athens[29]	Georgia	122,604	115,452	+6.19%	116.4 sq mi	301.4 km2	992 per sq mi	383 km−2	33.9496°N 83.3701°W
222	Victorville	California	122,225	115,903	+5.45%	73.2 sq mi	189.5 km2	1,584 per sq mi	612 km−2	34.5277°N 117.3536°W
223	Abilene	Texas	121,721	117,063	+3.98%	106.8 sq mi	276.6 km2	1,096 per sq mi	423 km−2	32.4545°N 99.7381°W
224	Vallejo	California	121,253	115,942	+4.58%	30.7 sq mi	79.4 km2	3,780 per sq mi	1,460 km−2	38.1079°N 122.2639°W
225	Berkeley	California	120,972	112,580	+7.45%	10.5 sq mi	27.1 km2	10,752 per sq mi	4,152 km−2	37.8667°N 122.2991°W
226	Norman	Oklahoma	120,284	110,925	+8.44%	178.8 sq mi	463.0 km2	621 per sq mi	240 km−2	35.22°N 97.44°W
227	Allentown	Pennsylvania	120,207	118,032	+1.84%	17.5 sq mi	45.4 km2	6,727 per sq mi	2,597 km−2	40.5940°N 75.4782°W
228	Evansville	Indiana	119,943	117,429	+2.14%	44.2 sq mi	114.4 km2	2,660 per sq mi	1,027 km−2	37.9877°N 87.5347°W
229	Columbia	Missouri	119,108	108,500	+9.78%	63.1 sq mi	163.4 km2	1,720 per sq mi	664 km−2	38.9479°N 92.3261°W
230	Odessa	Texas	118,968	99,940	+19.04%	42.0 sq mi	108.7 km2	2,382 per sq mi	920 km−2	31.8804°N 102.3434°W
231	Fargo	North Dakota	118,523	105,549	+12.29%	48.8 sq mi	126.4 km2	2,162 per sq mi	835 km−2	46.8652°N 96.8290°W
232	Beaumont	Texas	118,129	118,296	−0.14%	82.8 sq mi	214.5 km2	1,429 per sq mi	552 km−2	30.0843°N 94.1458°W
233	Independence	Missouri	117,255	116,830	+0.36%	77.6 sq mi	200.9 km2	1,506 per sq mi	582 km−2	39.0853°N 94.3513°W
234	Ann Arbor	Michigan	117,070	113,934	+2.75%	27.8 sq mi	72.1 km2	4,094 per sq mi	1,581 km−2	42.2756°N 83.7313°W
235	El Monte	California	116,732	113,475	+2.87%	9.6 sq mi	24.8 km2	11,867 per sq mi	4,582 km−2	34.0746°N 118.0291°W
236	Springfield	Illinois	116,565	116,250	+0.27%	59.5 sq mi	154.1 km2	1,954 per sq mi	755 km−2	39.7639°N 89.6708°W
237	Round Rock	Texas	115,997	99,887	+16.13%	34.1 sq mi	88.4 km2	2,928 per sq mi	1,131 km−2	30.5237°N 97.6674°W
238	Wilmington	North Carolina	115,933	106,476	+8.88%	51.5 sq mi	133.4 km2	2,068 per sq mi	798 km−2	34.2092°N 77.8858°W
239	Arvada	Colorado	115,368	106,433	+8.39%	35.1 sq mi	91.0 km2	3,029 per sq mi	1,169 km−2	39.8097°N 105.1066°W
240	Provo	Utah	115,264	112,488	+2.47%	41.7 sq mi	107.9 km2	2,699 per sq mi	1,042 km−2	40.2453°N 111.6448°W
241	Peoria	Illinois	115,070	115,007	+0.05%	48.0 sq mi	124.3 km2	2,396 per sq mi	925 km−2	40.7523°N 89.6171°W
242	Lansing	Michigan	115,056	114,297	+0.66%	36.0 sq mi	93.4 km2	3,171 per sq mi	1,224 km−2	42.7098°N 84.5562°W
243	Downey	California	114,219	111,772	+2.19%	12.4 sq mi	32.1 km2	9,008 per sq mi	3,478 km−2	33.9382°N 118.1309°W
244	Carlsbad	California	113,453	105,328	+7.71%	37.7 sq mi	97.7 km2	2,792 per sq mi	1,078 km−2	33.1239°N 117.2828°W
245	Costa Mesa	California	113,204	109,960	+2.95%	15.7 sq mi	40.5 km2	7,025 per sq mi	2,712 km−2	33.6659°N 117.9123°W
246	Miami Gardens	Florida	113,187	107,167	+5.62%	18.2 sq mi	47.2 km2	5,878 per sq mi	2,270 km−2	25.9489°N 80.2436°W
247	Westminster	Colorado	113,130	106,114	+6.61%	31.6 sq mi	81.7 km2	3,363 per sq mi	1,299 km−2	39.8822°N 105.0644°W
248	Clearwater	Florida	113,003	107,685	+4.94%	25.6 sq mi	66.2 km2	4,213 per sq mi	1,627 km−2	27.9795°N 82.7663°W
249	Fairfield	California	112,970	105,321	+7.26%	37.4 sq mi	96.8 km2	2,817 per sq mi	1,088 km−2	38.2568°N 122.0397°W
250	Rochester	Minnesota	112,225	106,769	+5.11%	54.6 sq mi	141.4 km2	1,956 per sq mi	755 km−2	44.0154°N 92.4772°W
251	Elgin	Illinois	112,111	108,188	+3.63%	37.2 sq mi	96.3 km2	2,911 per sq mi	1,124 km−2	42.0396°N 88.3217°W
252	Temecula	California	112,011	100,097	+11.90%	30.2 sq mi	78.1 km2	3,320 per sq mi	1,282 km−2	33.5019°N 117.1246°W
253	West Jordan	Utah	111,946	103,712	+7.94%	32.5 sq mi	84.1 km2	3,195 per sq mi	1,234 km−2	40.6023°N 112.0010°W
254	Inglewood	California	111,666	109,673	+1.82%	9.1 sq mi	23.5 km2	12,095 per sq mi	4,670 km−2	33.9561°N 118.3443°W
255	Richardson	Texas	110,815	99,223	+11.68%	28.6 sq mi	74.0 km2	3,474 per sq mi	1,341 km−2	32.9723°N 96.7081°W
256	Lowell	Massachusetts	110,699	106,519	+3.92%	13.6 sq mi	35.2 km2	7,842 per sq mi	3,028 km−2	42.6389°N 71.3221°W
257	Gresham	Oregon	110,553	105,594	+4.70%	23.2 sq mi	60.1 km2	4,551 per sq mi	1,757 km−2	45.5023°N 122.4416°W
